State,LGAName,StateCode,sLGACode,LGACodetxt,LGACode
Lagos,Ifako/Ijaye,25,10,2510,2510
Lagos,Ikeja,25,11,2511,2511
Lagos,Ikorodu,25,12,2512,2512
Lagos,Kosofe,25,13,2513,2513
Lagos,Lagos Island,25,14,2514,2514
Lagos,Lagos Mainland,25,15,2515,2515
Lagos,Mushin,25,16,2516,2516
Lagos,Ojo,25,17,2517,2517
Lagos,Oshodi/Isolo,25,18,2518,2518
Lagos,Shomolu,25,19,2519,2519
Lagos,Surulere,25,20,2520,2520
Nasarawa,Akwanga,26,1,2601,2601
Nasarawa,Awe,26,2,2602,2602
Nasarawa,Doma,26,3,2603,2603
Nasarawa,Karu,26,4,2604,2604
Nasarawa,Keana,26,5,2605,2605
Nasarawa,Keffi,26,6,2606,2606
Nasarawa,Kokona,26,7,2607,2607
Nasarawa,Lafia,26,8,2608,2608
Nasarawa,Nasarawa,26,9,2609,2609
Nasarawa,Nasarawa Egon,26,10,2610,2610
Nasarawa,Obi,26,11,2611,2611
Nasarawa,Toto,26,12,2612,2612
Nasarawa,Wamba,26,13,2613,2613
Niger,Agaie,27,1,2701,2701
Niger,Agwara,27,2,2702,2702
Niger,Bida,27,3,2703,2703
Niger,Borgu,27,4,2704,2704
Niger,Bosso,27,5,2705,2705
Niger,Chanchaga,27,6,2706,2706
Niger,Edati,27,7,2707,2707
Niger,Gbako,27,8,2708,2708
Niger,Gurara,27,9,2709,2709
Niger,Katcha,27,10,2710,2710
Niger,Kontagora,27,11,2711,2711
Niger,Lapai,27,12,2712,2712
Niger,Lavun,27,13,2713,2713
Niger,Magama,27,14,2714,2714
Niger,Mariga,27,15,2715,2715
Niger,Mashegu,27,16,2716,2716
Niger,Mokwa,27,17,2717,2717
Niger,Muya,27,18,2718,2718
Niger,Paikoro,27,19,2719,2719
Niger,Rafi,27,20,2720,2720
Niger,Rijau,27,21,2721,2721
Niger,Shiroro,27,22,2722,2722
Niger,Suleja,27,23,2723,2723
Niger,Tafa,27,24,2724,2724
Niger,Wushishi,27,25,2725,2725
Ogun,Abeokuta North,28,1,2801,2801
Ogun,Abeokuta South,28,2,2802,2802
Ogun,Ado Odo/Ota,28,3,2803,2803
Ogun,Egbado North,28,4,2804,2804
Ogun,Egbado South,28,5,2805,2805
Ogun,Ewekoro,28,6,2806,2806
Ogun,Ifo,28,7,2807,2807
Ogun,Ijebu East,28,8,2808,2808
Ogun,Ijebu North,28,9,2809,2809
Ogun,Ijebu North East,28,10,2810,2810
Ogun,Ijebu ode,28,11,2811,2811
Ogun,Ikenne,28,12,2812,2812
Ogun,Imeko Afon,28,13,2813,2813
Ogun,Ipokia,28,14,2814,2814
Ogun,Obafemi Owode,28,15,2815,2815
Ogun,Odeda,28,16,2816,2816
Ogun,Odogbolu,28,17,2817,2817
Ogun,Ogun waterside,28,18,2818,2818
Ogun,Remo North,28,19,2819,2819
Ogun,Shagamu,28,20,2820,2820
Ondo,Akoko North East,29,1,2901,2901
Ondo,Akoko North West,29,2,2902,2902
Ondo,Akoko South East,29,3,2903,2903
Ondo,Akoko South West,29,4,2904,2904
Ondo,Akure North,29,5,2905,2905
Ondo,Akure South,29,6,2906,2906
Ondo,Ese Odo,29,7,2907,2907
Ondo,Idanre,29,8,2908,2908
Ondo,Ifedore,29,9,2909,2909
Ondo,Ilaje,29,10,2910,2910
Ondo,Ile Oluji/Okeigbo,29,11,2911,2911
Ondo,Irele,29,12,2912,2912
Ondo,Odigbo,29,13,2913,2913
Ondo,Okitipupa,29,14,2914,2914
Ondo,Ondo East,29,15,2915,2915
Ondo,Ondo West,29,16,2916,2916
Ondo,Ose,29,17,2917,2917
Ondo,Owo,29,18,2918,2918
Osun,Aiyedade,30,1,3001,3001
Osun,Aiyedire,30,2,3002,3002
Osun,Atakunmosa East,30,3,3003,3003
Osun,Atakunmosa West,30,4,3004,3004
Osun,Boluwaduro,30,5,3005,3005
Osun,Boripe,30,6,3006,3006
Osun,Ede North,30,7,3007,3007
Osun,Ede South,30,8,3008,3008
Osun,Egbedore,30,9,3009,3009
Osun,Ejigbo,30,10,3010,3010
Osun,Ife Central,30,11,3011,3011
Osun,Ife East,30,12,3012,3012
Osun,Ife North,30,13,3013,3013
Osun,Ife South,30,14,3014,3014
Osun,Ifedayo,30,15,3015,3015
Osun,Ifelodun,30,16,3016,3016
Osun,Ila,30,17,3017,3017
Osun,Ilesha East,30,18,3018,3018
Osun,Ilesha West,30,19,3019,3019
Osun,Irepodun,30,20,3020,3020
Osun,Irewole,30,21,3021,3021
Osun,Isokan,30,22,3022,3022
Osun,Iwo,30,23,3023,3023
Osun,Obokun,30,24,3024,3024
Osun,Odo Otin,30,25,3025,3025
Osun,Ola oluwa,30,26,3026,3026
Osun,Olorunda,30,27,3027,3027
Osun,Oriade,30,28,3028,3028
Osun,Orolu,30,29,3029,3029
Osun,Osogbo,30,30,3030,3030
Oyo,Afijio,31,1,3101,3101
Oyo,Akinyele,31,2,3102,3102
Oyo,Atiba,31,3,3103,3103
Oyo,Atisbo,31,4,3104,3104
Oyo,Egbeda,31,5,3105,3105
Oyo,Ibadan North,31,6,3106,3106
Oyo,Ibadan North East,31,7,3107,3107
Oyo,Ibadan North West,31,8,3108,3108
Oyo,Ibadan South East,31,9,3109,3109
Oyo,Ibadan South West,31,10,3110,3110
Oyo,Ibarapa Central,31,11,3111,3111
Oyo,Ibarapa East,31,12,3112,3112
Oyo,Ibarapa North,31,13,3113,3113
Oyo,Ido,31,14,3114,3114
Oyo,Irepo,31,15,3115,3115
Oyo,Iseyin,31,16,3116,3116
Oyo,Itesiwaju,31,17,3117,3117
